Type,Word,Prior Polarity
strongsubj,asinine,negative
strongsubj,asininely,negative
strongsubj,asinininity,negative
strongsubj,askance,negative
strongsubj,asperse,negative
strongsubj,aspersion,negative
strongsubj,aspersions,negative
strongsubj,aspiration,positive
strongsubj,aspirations,positive
strongsubj,aspirations,positive
strongsubj,aspire,positive
weaksubj,assail,negative
weaksubj,assassinate,negative
strongsubj,assassin,negative
weaksubj,assault,negative
weaksubj,assault,negative
strongsubj,assent,positive
strongsubj,assertions,positive
strongsubj,assertions,positive
weaksubj,assertive,positive
strongsubj,assess,neutral
weaksubj,assessment,neutral
weaksubj,assessment,neutral
weaksubj,assessments,neutral
weaksubj,assessments,neutral
weaksubj,asset,positive
strongsubj,assiduous,positive
strongsubj,assiduously,positive
weaksubj,assuage,positive
weaksubj,assumption,neutral
weaksubj,assumption,neutral
weaksubj,assurance,positive
weaksubj,assurance,positive
weaksubj,assurances,positive
weaksubj,assurances,positive
strongsubj,assure,positive
strongsubj,assuredly,positive
strongsubj,astonish,positive
strongsubj,astonished,positive
strongsubj,astonishing,positive
strongsubj,astonishing,positive
strongsubj,astonishingly,positive
strongsubj,astonishment,positive
strongsubj,astound,positive
strongsubj,astounded,positive
strongsubj,astounding,positive
strongsubj,astounding,positive
strongsubj,astounding,positive
strongsubj,astoundingly,positive
weaksubj,astray,negative
strongsubj,astronomic,neutral
strongsubj,astronomical,neutral
strongsubj,astronomically,neutral
strongsubj,astute,positive
strongsubj,astutely,positive
strongsubj,asunder,negative
weaksubj,asylum,positive
weaksubj,asylum,positive
strongsubj,atrocious,negative
strongsubj,atrocities,negative
strongsubj,atrocity,negative
strongsubj,atrophy,negative
weaksubj,attack,negative
weaksubj,attack,negative
weaksubj,attain,positive
weaksubj,attainable,positive
strongsubj,attentive,positive
strongsubj,attest,positive
strongsubj,attitude,neutral
strongsubj,attitude,neutral
weaksubj,attitudes,neutral
weaksubj,attitudes,neutral
strongsubj,attraction,positive
strongsubj,attraction,positive
strongsubj,attractive,positive
strongsubj,attractive,positive
strongsubj,attractively,positive
weaksubj,attune,positive
strongsubj,audacious,negative
strongsubj,audaciously,negative
strongsubj,audaciousness,negative
strongsubj,audacity,negative
strongsubj,auspicious,positive
strongsubj,austere,negative
weaksubj,authentic,positive
weaksubj,authoritarian,negative
weaksubj,authoritative,positive
strongsubj,autocrat,negative
strongsubj,autocratic,negative
weaksubj,award,positive
weaksubj,award,positive
strongsubj,awareness,neutral
strongsubj,aware,neutral
strongsubj,autocratic,negative
strongsubj,autocratic,negative
weaksubj,autonomous,positive
strongsubj,avalanche,negative
strongsubj,avalanche,negative
strongsubj,avarice,negative
strongsubj,avaricious,negative
strongsubj,avariciously,negative
strongsubj,avenge,negative
strongsubj,aver,positive
strongsubj,averse,negative
strongsubj,aversion,negative
strongsubj,avid,positive
strongsubj,avidly,positive
weaksubj,avoid,negative
weaksubj,avoidance,negative
strongsubj,awe,positive
strongsubj,awe,positive
strongsubj,awed,positive
strongsubj,awesome,positive
strongsubj,awesome,positive
strongsubj,awesomely,positive
strongsubj,awesomeness,positive
strongsubj,awestruck,positive
strongsubj,awful,negative
strongsubj,awful,negative
strongsubj,awfully,negative
strongsubj,awfulness,negative
strongsubj,awfulness,negative
strongsubj,awkward,negative
strongsubj,awkwardness,negative
strongsubj,ax,negative
strongsubj,babble,negative
strongsubj,baby,neutral
strongsubj,baby,neutral
weaksubj,back,positive
strongsubj,backbite,negative
strongsubj,backbiting,negative
weaksubj,backbone,positive
strongsubj,backward,negative
strongsubj,backwardness,negative
strongsubj,bad,negative
strongsubj,badly,negative
strongsubj,baffle,negative
strongsubj,baffled,negative
strongsubj,bafflement,negative
strongsubj,baffling,negative
strongsubj,bait,negative
weaksubj,balanced,positive
strongsubj,balk,negative
strongsubj,banal,negative
strongsubj,banal,negative
strongsubj,banalize,negative
strongsubj,bane,negative
strongsubj,banish,negative
strongsubj,banish,negative
strongsubj,banishment,negative
weaksubj,bankrupt,negative
weaksubj,bankrupt,negative
weaksubj,bar,negative
strongsubj,barbarian,negative
strongsubj,barbarian,negative
strongsubj,barbaric,negative
strongsubj,barbarically,negative
strongsubj,barbarity,negative
strongsubj,barbarity,negative
strongsubj,barbarous,negative
strongsubj,barbarous,negative
strongsubj,barbarously,negative
weaksubj,barely,negative
strongsubj,bargain,positive
strongsubj,bargain,positive
strongsubj,barren,negative
strongsubj,baseless,negative
strongsubj,bashful,negative
weaksubj,basic,positive
weaksubj,basically,neutral
weaksubj,bask,positive
strongsubj,bastard,negative
strongsubj,bastard,negative
weaksubj,batons,neutral
weaksubj,batons,neutral
weaksubj,battered,negative
weaksubj,battering,negative
weaksubj,battering,negative
weaksubj,battle,negative
strongsubj,battle-lines,negative
strongsubj,battle-lines,negative
weaksubj,battlefield,negative
strongsubj,battleground,negative
strongsubj,battleground,negative
strongsubj,batty,negative
weaksubj,beacon,positive
weaksubj,bearish,negative
strongsubj,beast,negative
strongsubj,beast,negative
strongsubj,beastly,negative
strongsubj,beatify,positive
strongsubj,beauteous,positive
strongsubj,beautiful,positive
strongsubj,beautiful,positive
strongsubj,beautifully,positive
strongsubj,beautify,positive
strongsubj,beauty,positive
strongsubj,bedlam,negative
strongsubj,bedlamite,negative
strongsubj,befit,positive
strongsubj,befitting,positive
strongsubj,befoul,negative
strongsubj,befriend,positive
strongsubj,beg,negative
weaksubj,beggar,negative
strongsubj,beggarly,negative
strongsubj,begging,negative
strongsubj,begging,negative
strongsubj,beguile,negative
weaksubj,belated,negative
strongsubj,belabor,negative
strongsubj,beleaguer,negative
strongsubj,belie,negative
strongsubj,belief,neutral
strongsubj,belief,neutral
weaksubj,beliefs,neutral
weaksubj,beliefs,neutral
strongsubj,believable,positive
strongsubj,believe,neutral
strongsubj,belittle,negative
strongsubj,belittled,negative
strongsubj,belittling,negative
strongsubj,bellicose,negative
strongsubj,bellicose,negative
strongsubj,belligerence,negative
strongsubj,belligerent,negative
strongsubj,belligerent,negative
strongsubj,belligerently,negative
strongsubj,beloved,positive
strongsubj,bemoan,negative
strongsubj,bemoaning,negative
strongsubj,bemused,negative
weaksubj,benefactor,positive
weaksubj,beneficial,positive
strongsubj,beneficent,positive
strongsubj,beneficial,positive
strongsubj,beneficially,positive
strongsubj,beneficiary,positive
strongsubj,beneficiary,positive
weaksubj,benefit,positive
weaksubj,benefit,positive
weaksubj,benefits,positive
weaksubj,benefits,positive
strongsubj,benevolence,positive
strongsubj,benevolent,positive
weaksubj,benign,positive
weaksubj,bent,negative
strongsubj,berate,negative
strongsubj,bereave,negative
strongsubj,bereavement,negative
strongsubj,bereft,negative
strongsubj,berserk,negative
strongsubj,beseech,negative
weaksubj,beset,negative
strongsubj,besides,neutral
weaksubj,besiege,negative
strongsubj,besmirch,negative
strongsubj,best,positive
strongsubj,best-known,positive
strongsubj,best-performing,positive
weaksubj,best-selling,positive
strongsubj,bestial,negative
strongsubj,betray,negative
strongsubj,betrayal,negative
strongsubj,betrayals,negative
strongsubj,betrayer,negative
strongsubj,better,positive
weaksubj,better,positive
strongsubj,better-known,positive
strongsubj,better-than-expected,positive
strongsubj,bewail,negative
weaksubj,beware,negative
strongsubj,bewilder,negative
strongsubj,bewildered,negative
strongsubj,bewildering,negative
strongsubj,bewildering,negative
strongsubj,bewilderingly,negative
strongsubj,bewilderment,negative
strongsubj,bewitch,negative
strongsubj,bias,negative
strongsubj,bias,negative
strongsubj,bias,negative
strongsubj,biased,negative
strongsubj,biased,negative
strongsubj,biases,negative
strongsubj,biases,negative
strongsubj,bicker,negative
strongsubj,bickering,negative
weaksubj,bid-rigging,negative
weaksubj,big,neutral
strongsubj,bitch,negative
strongsubj,bitchy,negative
strongsubj,biting,negative
strongsubj,bitingly,negative
strongsubj,bitter,negative
strongsubj,bitterly,negative
strongsubj,bitterness,negative
strongsubj,bizarre,negative
strongsubj,blab,negative
strongsubj,blabber,negative
weaksubj,black,negative
weaksubj,blackmail,negative
strongsubj,blah,negative
strongsubj,blame,negative
strongsubj,blame,negative
strongsubj,blame,negative
strongsubj,blameless,positive
strongsubj,blameworthy,negative
strongsubj,bland,negative
strongsubj,blandish,negative
strongsubj,blaspheme,negative
strongsubj,blasphemous,negative
strongsubj,blasphemous,negative
strongsubj,blasphemy,negative
weaksubj,blast,negative
strongsubj,blasted,negative
strongsubj,blatant,negative
strongsubj,blatantly,negative
strongsubj,blather,negative
strongsubj,bleak,negative
strongsubj,bleakly,negative
strongsubj,bleakness,negative
weaksubj,bleed,negative
weaksubj,blemish,negative
weaksubj,blemish,negative
strongsubj,bless,positive
strongsubj,blessing,positive
strongsubj,blessing,positive
weaksubj,blind,negative
strongsubj,blinding,negative
strongsubj,blinding,negative
strongsubj,blindingly,negative
weaksubj,blindness,negative
strongsubj,blindside,negative
strongsubj,bliss,positive
strongsubj,blissful,positive
strongsubj,blissfully,positive
strongsubj,blister,negative
strongsubj,blistering,negative
strongsubj,blithe,positive
strongsubj,bloated,negative
weaksubj,block,negative
weaksubj,block,negative
strongsubj,blockhead,negative
weaksubj,blood,neutral
weaksubj,blood,negative
strongsubj,bloodshed,negative
strongsubj,bloodthirsty,negative
weaksubj,bloody,negative
weaksubj,bloom,positive
weaksubj,blossom,positive
weaksubj,blow,negative
weaksubj,blow,negative
strongsubj,blunder,negative
strongsubj,blunder,negative
strongsubj,blundering,negative
strongsubj,blunders,negative
strongsubj,blunt,negative
weaksubj,blur,negative
strongsubj,blurt,negative
strongsubj,boast,positive
strongsubj,boast,negative
strongsubj,boastful,negative
strongsubj,boggle,negative
strongsubj,bogus,negative
strongsubj,boil,negative
strongsubj,boiling,negative
strongsubj,boisterous,negative
strongsubj,bold,positive
strongsubj,boldly,positive
strongsubj,boldness,positive
strongsubj,bolster,positive
weaksubj,bombard,negative
weaksubj,bomb,negative
strongsubj,bombardment,negative
strongsubj,bombardment,negative
strongsubj,bombastic,negative
strongsubj,bondage,negative
strongsubj,bonkers,negative
strongsubj,bonkers,negative
strongsubj,bonny,positive
weaksubj,bonus,positive
weaksubj,boom,positive
weaksubj,booming,positive
weaksubj,boost,positive
weaksubj,boost,positive
strongsubj,bore,negative
strongsubj,boredom,negative
strongsubj,boring,negative
strongsubj,boring,negative
strongsubj,botch,negative
strongsubj,bother,negative
strongsubj,bother,negative
strongsubj,bothersome,negative
strongsubj,boundless,positive
strongsubj,bountiful,positive
strongsubj,bowdlerize,negative
weaksubj,boycott,negative
weaksubj,boycott,negative
strongsubj,brag,both
strongsubj,brag,both
strongsubj,braggart,negative
strongsubj,braggart,negative
strongsubj,bragger,negative
strongsubj,bragger,negative
strongsubj,brains,positive
strongsubj,brains,positive
strongsubj,brainwash,negative
strongsubj,brainy,positive
strongsubj,brash,negative
strongsubj,brashly,negative
strongsubj,brashness,negative
strongsubj,brat,negative
strongsubj,bravado,negative
strongsubj,brave,positive
strongsubj,brave,positive
strongsubj,bravery,positive
strongsubj,bravery,positive
strongsubj,brazen,negative
strongsubj,brazenly,negative
strongsubj,brazenly,negative
strongsubj,brazenness,negative
strongsubj,brazenness,negative
weaksubj,breach,negative
weaksubj,breach,negative
weaksubj,break,negative
strongsubj,break-point,negative
strongsubj,break-point,negative
weaksubj,breakdown,negative
weaksubj,breakthrough,positive
weaksubj,breakthrough,positive
weaksubj,breakthroughs,positive
weaksubj,breakthroughs,positive
strongsubj,breathlessness,positive
strongsubj,breathlessness,positive
strongsubj,breathtaking,positive
strongsubj,breathtakingly,positive
weaksubj,bright,positive
weaksubj,brighten,positive
weaksubj,brightness,positive
weaksubj,brilliance,positive
strongsubj,brilliant,positive
strongsubj,brilliant,positive
strongsubj,brilliantly,positive
strongsubj,brimstone,negative
strongsubj,brimstone,negative
weaksubj,brisk,positive
strongsubj,bristle,negative
weaksubj,brittle,negative
weaksubj,broad,positive
weaksubj,broad-based,neutral
weaksubj,broke,negative
strongsubj,broken-hearted,negative
strongsubj,brood,negative
strongsubj,brook,positive
weaksubj,brotherly,positive
strongsubj,browbeat,negative
weaksubj,bruise,negative
strongsubj,brusque,negative
strongsubj,brutal,negative
strongsubj,brutalising,negative
strongsubj,brutalising,negative
strongsubj,brutalities,negative
strongsubj,brutalities,negative
strongsubj,brutality,negative
strongsubj,brutalize,negative
strongsubj,brutalizing,negative
strongsubj,brutally,negative
strongsubj,brute,negative
strongsubj,brutish,negative
weaksubj,bug,negative
weaksubj,buckle,negative
weaksubj,bulky,negative
weaksubj,bull,positive
weaksubj,bull,positive
strongsubj,bullies,negative
strongsubj,bullies,negative
weaksubj,bullish,positive
weaksubj,bullish,positive
strongsubj,bully,negative
strongsubj,bully,negative
strongsubj,bullyingly,negative
weaksubj,bum,negative
weaksubj,bumpy,negative
strongsubj,bungle,negative
strongsubj,bungler,negative
weaksubj,bunk,negative
weaksubj,buoyant,positive
strongsubj,burden,negative
strongsubj,burden,negative
strongsubj,burdensome,negative
strongsubj,burdensome,negative
strongsubj,burdensomely,negative
strongsubj,burn,negative
weaksubj,busy,negative
strongsubj,busybody,negative
weaksubj,butcher,negative
strongsubj,butchery,negative
strongsubj,byzantine,negative
strongsubj,cackle,negative
strongsubj,cajole,negative
strongsubj,calamities,negative
strongsubj,calamitous,negative
strongsubj,calamitously,negative
strongsubj,calamity,negative
strongsubj,calamity,negative
strongsubj,callous,negative
weaksubj,calm,positive
weaksubj,calm,positive
strongsubj,calming,positive
weaksubj,calmness,positive
strongsubj,calumniate,negative
strongsubj,calumniation,negative
strongsubj,calumnies,negative
strongsubj,calumnious,negative
strongsubj,calumniously,negative
strongsubj,calumny,negative
weaksubj,cancer,negative
weaksubj,cancerous,negative
strongsubj,candid,positive
strongsubj,candor,positive
strongsubj,cannibal,negative
strongsubj,cannibalize,negative
weaksubj,capable,positive
weaksubj,capability,positive
weaksubj,capably,positive
weaksubj,capitalize,positive
weaksubj,capitulate,negative
strongsubj,capricious,negative
strongsubj,capriciously,negative
strongsubj,capriciousness,negative
weaksubj,capsize,negative
strongsubj,captivate,positive
strongsubj,captivating,positive
strongsubj,captivation,positive
weaksubj,captive,negative
weaksubj,care,positive
strongsubj,carefree,positive
weaksubj,careful,positive
strongsubj,careless,negative
strongsubj,carelessness,negative
strongsubj,caricature,negative
strongsubj,carnage,negative
strongsubj,carp,negative
weaksubj,cartoon,negative
weaksubj,cartoon,negative
strongsubj,cartoonish,negative
weaksubj,cash-strapped,negative
strongsubj,castigate,negative
weaksubj,casualty,negative
strongsubj,cataclysm,negative
strongsubj,cataclysmal,negative
strongsubj,cataclysmic,negative
strongsubj,cataclysmically,negative
strongsubj,catalyst,positive
strongsubj,catalyst,positive
strongsubj,catastrophe,negative
strongsubj,catastrophe,negative
strongsubj,catastrophes,negative
strongsubj,catastrophic,negative
strongsubj,catastrophic,negative
strongsubj,catastrophically,negative
strongsubj,catchy,positive
strongsubj,caustic,negative
strongsubj,caustically,negative
strongsubj,cautionary,negative
weaksubj,cautious,negative
weaksubj,cave,negative
weaksubj,ceaseless,neutral
strongsubj,celebrate,positive
strongsubj,celebrated,positive
